,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,click
0,100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,1
1,3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,1
2,One dime,0,0,0,0,0,0,0,0,0,0.011000000000000001,0.11599999999999999,0
3,One quarter,0,0,0,0,0,0,0,0,0,0.011000000000000001,0.51099998,0
4,Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,1
5,Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,1
6,Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,1
7,Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,0
8,Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,0
9,Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,0
10,Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,0
11,Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,0
12,Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,0
13,Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,0
14,Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,0
15,Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,0
16,Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,0
17,Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,0
18,Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,1
19,Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,0
20,Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,1
21,Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,0
22,HersheyÕs Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,1
23,HersheyÕs Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,1
24,HersheyÕs Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,1
25,HersheyÕs Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,1
26,Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,0
27,Junior Mints,1,0,0,0,0,0,0,0,1,0.19699999999999998,0.51099998,1
28,Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,1
29,Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.11599999999999999,0
30,Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.10400000000000001,0
31,Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,1
32,Peanut butter M&MÕs,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,1
33,M&MÕs,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,1
34,Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,0
35,Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,1
36,Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,1
37,Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,1
38,Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,1
39,Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,0
40,Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,1
